Date,AAPL,JNJ,JPM,XOM,AMZN,KO,NVDA,PG,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2018-04-26,38.579681396484375,103.03507232666016,88.96813201904297,56.277198791503906,75.89800262451172,33.612388610839844,5.5715765953063965,59.43526077270508,0.95,-0.56,-0.85,-0.58,-0.51,0.01,0.97
2018-04-27,38.133338928222656,103.24435424804688,88.40245819091797,54.14052963256836,78.63099670410156,34.052703857421875,5.599038124084473,59.484291076660156,0.01,-0.26,0.04,0.53,0.11,0.01,0.31
2018-04-30,38.82400894165039,101.81163787841797,87.90148162841797,54.11269760131836,78.30650329589844,33.97407150268555,5.563661098480225,59.10030746459961,-0.81,-0.07,-0.09,-0.4,-0.03,0.01,0.22
2018-05-01,39.72612762451172,101.42527770996094,87.90148162841797,53.5559196472168,79.11299896240234,33.486595153808594,5.619076728820801,58.78984451293945,0.25,0.25,-0.53,-0.02,-1.02,0.01,0.43
2018-05-02,41.481040954589844,99.40499877929688,87.20653533935547,53.451515197753906,78.48400115966797,33.069881439208984,5.598542213439941,57.9565315246582,-0.62,1.25,-0.35,0.04,-0.04,0.01,0.4
2018-05-03,41.55621337890625,99.02669525146484,86.65705108642578,53.270545959472656,78.60399627685547,32.93620681762695,5.763795852661133,58.299659729003906,-0.25,-0.61,-0.15,0.04,-0.12,0.01,0.89
2018-05-04,43.186607360839844,99.96038055419922,87.61865997314453,53.5211067199707,79.04750061035156,33.30574417114258,5.913957595825195,59.17383575439453,1.3,-0.03,-0.2,-0.4,0.07,0.01,-0.39
2018-05-07,43.499053955078125,99.47744750976562,88.37823486328125,54.10573196411133,80.00700378417969,33.132774353027344,6.15194034576416,58.80617904663086,0.41,0.38,-0.33,-0.55,-0.32,0.01,0.35
2018-05-08,43.708152770996094,98.68865966796875,89.68731689453125,54.34931564331055,79.61949920654297,32.87332534790039,6.194491863250732,58.36502456665039,0.07,0.5,0.23,-0.29,0.08,0.01,0.47
2018-05-09,44.01590347290039,99.41304779052734,91.6428451538086,55.62993621826172,80.4000015258789,32.849727630615234,6.327582359313965,59.12480926513672,0.9,-0.26,0.25,-0.92,-0.03,0.01,0.21
2018-05-10,44.645503997802734,100.89407348632812,92.35393524169922,56.87574768066406,80.4540023803711,33.16423034667969,6.435194492340088,59.76206970214844,0.85,-0.38,-0.04,0.24,-0.31,0.01,-0.16
2018-05-11,44.47569274902344,102.41532135009766,92.0064697265625,57.142906188964844,80.14550018310547,33.132774353027344,6.296658992767334,59.9417839050293,0.19,0.13,-0.38,0.26,0.12,0.01,0.15
2018-05-14,44.37192916870117,101.46553802490234,92.03878784179688,57.529579162597656,80.0770034790039,33.05415344238281,6.317193984985352,59.86826705932617,0.05,-0.3,0.11,-0.21,0.52,0.01,-0.36
2018-05-15,43.968658447265625,100.71699523925781,91.33576202392578,57.50144958496094,78.80599975585938,32.80255126953125,6.074755668640137,59.59865951538086,-0.55,0.7,0.4,-0.07,0.42,0.01,-0.11
2018-05-16,44.379005432128906,100.89407348632812,91.58625793457031,57.66314697265625,79.36399841308594,32.66888427734375,6.085888385772705,60.07249069213867,0.5,0.69,-0.25,0.36,0.1,0.01,-0.04
2018-05-17,44.09838104248047,99.68671417236328,91.27921295166016,57.56472396850586,79.08799743652344,33.25857925415039,6.127943992614746,60.4238166809082,0.01,0.87,0.29,-0.37,0.3,0.01,0.2
2018-05-18,43.93799591064453,100.00061798095703,89.80042266845703,57.156982421875,78.71849822998047,33.16423034667969,6.0841569900512695,60.00715255737305,-0.23,0.46,-0.62,0.14,-0.22,0.01,0.64
2018-05-21,44.249298095703125,99.58206176757812,90.62466430664062,57.845947265625,79.27300262451172,33.34505844116211,6.042102336883545,60.505516052246094,0.72,-0.18,0.44,0.15,0.11,0.01,0.23
2018-05-22,44.138458251953125,98.93012237548828,91.31962585449219,57.39598083496094,79.06999969482422,33.219268798828125,6.00400447845459,60.48099899291992,-0.42,-0.65,0.61,-0.29,-0.37,0.01,-0.23
